# Gene Family	demo_Abundance-CPM
UniRef90_A0A076INP0|g__Bacteroides.s__Bacteroides_vulgatus	237.462
UniRef90_D4IN85	237.268
UniRef90_D4IN85|g__Bacteroides.s__Bacteroides_vulgatus	237.268
UniRef90_A0A174AYT0	235.975
UniRef90_A0A174AYT0|g__Bacteroides.s__Bacteroides_vulgatus	235.975
UniRef90_A0A076ISS3	235.777
UniRef90_A0A076ISS3|g__Bacteroides.s__Bacteroides_vulgatus	235.777
UniRef90_A7V7C4	235.663
UniRef90_A7V7C4|g__Bacteroides.s__Bacteroides_vulgatus	235.663
UniRef90_B3JFM7	235.42
UniRef90_B3JFM7|g__Bacteroides.s__Bacteroides_vulgatus	235.42
UniRef90_A0A0M1W407	235.166
UniRef90_A0A0M1W407|g__Bacteroides.s__Bacteroides_vulgatus	235.166
UniRef90_A0A174MM23	234.87
UniRef90_A0A174MM23|g__Bacteroides.s__Bacteroides_vulgatus	234.87
UniRef90_A0A0P0LHW5	233
UniRef90_A0A0P0LHW5|g__Bacteroides.s__Bacteroides_vulgatus	233
UniRef90_A0A396FE59	232.896
UniRef90_A0A396FE59|g__Bacteroides.s__Bacteroides_vulgatus	232.896
UniRef90_A0A0P0LIZ0	232.532
UniRef90_A0A0P0LIZ0|g__Bacteroides.s__Bacteroides_vulgatus	232.532
UniRef90_A0A0M1W6F3	232.476
UniRef90_A0A0M1W6F3|g__Bacteroides.s__Bacteroides_vulgatus	232.476
UniRef90_E5UND7	231.254
UniRef90_E5UND7|g__Bacteroides.s__Bacteroides_vulgatus	231.254
UniRef90_A0A016FI57	231.034
UniRef90_A0A016FI57|g__Bacteroides.s__Bacteroides_vulgatus	231.034
UniRef90_R6ZMG2	230.728
UniRef90_R6ZMG2|g__Bacteroides.s__Bacteroides_vulgatus	230.728
UniRef90_A0A396F2S3	229.639
UniRef90_A0A396F2S3|g__Bacteroides.s__Bacteroides_vulgatus	229.639
UniRef90_C3R9T7	228.791
UniRef90_C3R9T7|g__Bacteroides.s__Bacteroides_vulgatus	228.791
UniRef90_A0A076ITT2	228.472
UniRef90_A0A076ITT2|g__Bacteroides.s__Bacteroides_vulgatus	228.472
UniRef90_B6VVN3	228.306
UniRef90_B6VVN3|g__Bacteroides.s__Bacteroides_vulgatus	228.306
UniRef90_A0A1Q6IXI0	227.123
UniRef90_A0A1Q6IXI0|g__Bacteroides.s__Bacteroides_vulgatus	227.123
UniRef90_A0A1Q6I8J8	226.615
UniRef90_A0A1Q6I8J8|g__Bacteroides.s__Bacteroides_vulgatus	226.615
UniRef90_A0A3E5E638	225.916
UniRef90_A0A3E5E638|g__Bacteroides.s__Bacteroides_vulgatus	225.916
UniRef90_A0A0M1W292	225.626
UniRef90_A0A0M1W292|g__Bacteroides.s__Bacteroides_vulgatus	225.626
UniRef90_F9ZCR2	223.478
UniRef90_F9ZCR2|g__Bacteroides.s__Bacteroides_vulgatus	223.478
UniRef90_A0A076J8H6	222.736
UniRef90_A0A076J8H6|g__Bacteroides.s__Bacteroides_vulgatus	222.736
UniRef90_B6VXC1	222.455
UniRef90_B6VXC1|g__Bacteroides.s__Bacteroides_vulgatus	222.455
UniRef90_U6RJ00	221.855
UniRef90_U6RJ00|g__Bacteroides.s__Bacteroides_vulgatus	221.855
UniRef90_A0A397WJL1	221.204
UniRef90_A0A397WJL1|g__Bacteroides.s__Bacteroides_vulgatus	221.204
UniRef90_B6W141	221.072
UniRef90_B6W141|g__Bacteroides.s__Bacteroides_vulgatus	221.072
UniRef90_A0A174ULH9	220.757
UniRef90_A0A174ULH9|g__Bacteroides.s__Bacteroides_vulgatus	220.757
UniRef90_A0A1Q6JRH3	220.551
UniRef90_A0A1Q6JRH3|g__Bacteroides.s__Bacteroides_vulgatus	220.551
UniRef90_A0A380ZM27	220.223
UniRef90_A0A380ZM27|g__Bacteroides.s__Bacteroides_vulgatus	220.223
UniRef90_R6JK25	220.221
UniRef90_R6JK25|g__Bacteroides.s__Bacteroides_vulgatus	220.221
UniRef90_A0A0K2HEM0	219.361
UniRef90_A0A0K2HEM0|g__Bacteroides.s__Bacteroides_vulgatus	219.361
UniRef90_A0A395VSA3	218.226
UniRef90_A0A395VSA3|g__Bacteroides.s__Bacteroides_vulgatus	218.226
UniRef90_R5W221	218
UniRef90_R5W221|g__Bacteroides.s__Bacteroides_vulgatus	218
UniRef90_A0A076J4H3	216.17
UniRef90_A0A076J4H3|g__Bacteroides.s__Bacteroides_vulgatus	216.17
UniRef90_I9UBD0	215.975
UniRef90_I9UBD0|g__Bacteroides.s__Bacteroides_vulgatus	215.975
UniRef90_A0A076J8B0	215.509
UniRef90_A0A076J8B0|g__Bacteroides.s__Bacteroides_vulgatus	215.509
UniRef90_A0A078QNU1	215.127
UniRef90_A0A078QNU1|g__Bacteroides.s__Bacteroides_vulgatus	215.127
UniRef90_A0A076IHG6	215.106
UniRef90_A0A076IHG6|g__Bacteroides.s__Bacteroides_vulgatus	215.106
UniRef90_B6W235	214.759
UniRef90_B6W235|g__Bacteroides.s__Bacteroides_vulgatus	214.759
UniRef90_U6RGT5	214.556
UniRef90_U6RGT5|g__Bacteroides.s__Bacteroides_vulgatus	214.556
UniRef90_A0A076ISC1	213.961
UniRef90_A0A076ISC1|g__Bacteroides.s__Bacteroides_vulgatus	213.961
UniRef90_A6L3K7	213.578
UniRef90_A6L3K7|g__Bacteroides.s__Bacteroides_vulgatus	213.578
UniRef90_A0A174RVK1	213.56
UniRef90_A0A174RVK1|g__Bacteroides.s__Bacteroides_vulgatus	213.56
UniRef90_C3R6I8	213.23
UniRef90_C3R6I8|g__Bacteroides.s__Bacteroides_vulgatus	213.23
UniRef90_A6KZA8	213.195
UniRef90_A6KZA8|g__Bacteroides.s__Bacteroides_vulgatus	213.195
UniRef90_E4MEM1	212.899
UniRef90_E4MEM1|g__Bacteroides.s__Bacteroides_vulgatus	212.899
UniRef90_A0A174Q5I4	212.762
UniRef90_A0A174Q5I4|g__Bacteroides.s__Bacteroides_vulgatus	212.762
UniRef90_A0A076IUQ4	212.577
UniRef90_A0A076IUQ4|g__Bacteroides.s__Bacteroides_vulgatus	212.577
UniRef90_A0A0P0M688	211.669
UniRef90_A0A0P0M688|g__Bacteroides.s__Bacteroides_vulgatus	211.669
UniRef90_A0A076J5J6	210.381
UniRef90_A0A076J5J6|g__Bacteroides.s__Bacteroides_vulgatus	210.381
UniRef90_A6KWM0	210.267
UniRef90_A6KWM0|g__Bacteroides.s__Bacteroides_vulgatus	210.267
UniRef90_A0A076J443	210.067
UniRef90_A0A076J443|g__Bacteroides.s__Bacteroides_vulgatus	210.067
UniRef90_A0A0P0M0T3	209.848
UniRef90_A0A0P0M0T3|g__Bacteroides.s__Bacteroides_vulgatus	209.848
UniRef90_I9RAR8	209.311
UniRef90_I9RAR8|g__Bacteroides.s__Bacteroides_vulgatus	209.311
UniRef90_C6IUI6	209.278
UniRef90_C6IUI6|g__Bacteroides.s__Bacteroides_vulgatus	209.278
UniRef90_A0A396AT78	209.082
UniRef90_A0A396AT78|g__Bacteroides.s__Bacteroides_vulgatus	209.082
UniRef90_A0A076IUD6	209.039
UniRef90_A0A076IUD6|g__Bacteroides.s__Bacteroides_vulgatus	209.039
UniRef90_C3QQU0	208.802
UniRef90_C3QQU0|g__Bacteroides.s__Bacteroides_vulgatus	208.802
UniRef90_A0A0M1VZB7	208.584
UniRef90_A0A0M1VZB7|g__Bacteroides.s__Bacteroides_vulgatus	208.584
UniRef90_A0A396E3S1	208.403
UniRef90_A0A396E3S1|g__Bacteroides.s__Bacteroides_vulgatus	208.403
UniRef90_A0A076IHJ6	207.838
UniRef90_A0A076IHJ6|g__Bacteroides.s__Bacteroides_vulgatus	207.838
UniRef90_A6L175	207.806
UniRef90_A6L175|g__Bacteroides.s__Bacteroides_vulgatus	207.806
UniRef90_B6VZX1	207.724
UniRef90_B6VZX1|g__Bacteroides.s__Bacteroides_vulgatus	207.724
UniRef90_A0A0P0M5Q5	207.469
UniRef90_A0A0P0M5Q5|g__Bacteroides.s__Bacteroides_vulgatus	207.469
UniRef90_A0A076JA16	207.462
UniRef90_A0A076JA16|g__Bacteroides.s__Bacteroides_vulgatus	207.462
UniRef90_A0A076J0R6	206.25
UniRef90_A0A076J0R6|g__Bacteroides.s__Bacteroides_vulgatus	206.25
UniRef90_A0A1Y3ZLJ2	205.828
UniRef90_A0A1Y3ZLJ2|g__Bacteroides.s__Bacteroides_vulgatus	205.828
UniRef90_R9HPY0	205.778
UniRef90_R9HPY0|g__Bacteroides.s__Bacteroides_vulgatus	205.778
UniRef90_A0A076IL10	205.065
UniRef90_A0A076IL10|g__Bacteroides.s__Bacteroides_vulgatus	205.065
UniRef90_A6L169	204.922
UniRef90_A6L169|g__Bacteroides.s__Bacteroides_vulgatus	204.922
UniRef90_A0A076ILZ8	204.762
UniRef90_A0A076ILZ8|g__Bacteroides.s__Bacteroides_vulgatus	204.762
UniRef90_A0A395UR53	203.72
UniRef90_A0A395UR53|g__Bacteroides.s__Bacteroides_vulgatus	203.72
UniRef90_B0NQJ5	202.995
UniRef90_B0NQJ5|g__Bacteroides.s__Bacteroides_vulgatus	202.995
UniRef90_A0A076J0W8	202.069
UniRef90_A0A076J0W8|g__Bacteroides.s__Bacteroides_vulgatus	202.069
UniRef90_B4UUJ6	201.911
UniRef90_B4UUJ6|g__Bacteroides.s__Bacteroides_vulgatus	201.911
UniRef90_A0A174QEA0	200.876
UniRef90_A0A174QEA0|g__Bacteroides.s__Bacteroides_vulgatus	200.876
UniRef90_A0A076IKY2	200.557
UniRef90_A0A076IKY2|g__Bacteroides.s__Bacteroides_vulgatus	200.557
UniRef90_A0A076IY52	200.02
UniRef90_A0A076IY52|g__Bacteroides.s__Bacteroides_vulgatus	200.02
UniRef90_K6A8K3	199.937
UniRef90_K6A8K3|g__Bacteroides.s__Bacteroides_vulgatus	199.937
UniRef90_I9FHZ1	199.66
UniRef90_I9FHZ1|g__Bacteroides.s__Bacteroides_vulgatus	199.66
UniRef90_A6L4M4	199.564
UniRef90_A6L4M4|g__Bacteroides.s__Bacteroides_vulgatus	199.564
UniRef90_E5UY21	198.716
UniRef90_E5UY21|g__Bacteroides.s__Bacteroides_vulgatus	198.716
UniRef90_A0A174G697	198.357
UniRef90_A0A174G697|g__Bacteroides.s__Bacteroides_vulgatus	198.357
UniRef90_A0A076ISJ7	198.234
UniRef90_A0A076ISJ7|g__Bacteroides.s__Bacteroides_vulgatus	198.234
UniRef90_I8W766	198.205
UniRef90_I8W766|g__Bacteroides.s__Bacteroides_vulgatus	198.205
UniRef90_U6RGU2	197.94
UniRef90_U6RGU2|g__Bacteroides.s__Bacteroides_vulgatus	197.94
UniRef90_A0A076IRR2	197.594
UniRef90_A0A076IRR2|g__Bacteroides.s__Bacteroides_vulgatus	197.594
UniRef90_A6KZV1	197.559
UniRef90_A6KZV1|g__Bacteroides.s__Bacteroides_vulgatus	197.559
UniRef90_A0A076J1K6	197.534
UniRef90_A0A076J1K6|g__Bacteroides.s__Bacteroides_vulgatus	197.534
UniRef90_A0A174FKR7	197.052
UniRef90_A0A174FKR7|g__Bacteroides.s__Bacteroides_vulgatus	197.052
UniRef90_A0A174L7W1	195.839
UniRef90_A0A174L7W1|g__Bacteroides.s__Bacteroides_vulgatus	195.839
UniRef90_B5CTJ4	195.565
UniRef90_B5CTJ4|g__Bacteroides.s__Bacteroides_vulgatus	195.565
UniRef90_A0A076IY28	194.644
UniRef90_A0A076IY28|g__Bacteroides.s__Bacteroides_vulgatus	194.644
UniRef90_A0A0P0M3X7	194.335
UniRef90_A0A0P0M3X7|g__Bacteroides.s__Bacteroides_vulgatus	194.335
UniRef90_A0A069SE00	193.945
UniRef90_A0A069SE00|g__Bacteroides.s__Bacteroides_vulgatus	193.945
UniRef90_A6KWQ7	193.926
UniRef90_A6KWQ7|g__Bacteroides.s__Bacteroides_vulgatus	193.926
UniRef90_C3R8W1	193.56
UniRef90_C3R8W1|g__Bacteroides.s__Bacteroides_vulgatus	193.56
UniRef90_A6L198	193.486
UniRef90_A6L198|g__Bacteroides.s__Bacteroides_vulgatus	193.486
UniRef90_A0A076J7U9	193.297
UniRef90_A0A076J7U9|g__Bacteroides.s__Bacteroides_vulgatus	193.297
UniRef90_A0A397WMH6	193.202
UniRef90_A0A397WMH6|g__Bacteroides.s__Bacteroides_vulgatus	193.202
UniRef90_A0A076ITU8	193.105
UniRef90_A0A076ITU8|g__Bacteroides.s__Bacteroides_vulgatus	193.105
UniRef90_A0A0P0M534	193.018
UniRef90_A0A0P0M534|g__Bacteroides.s__Bacteroides_vulgatus	193.018
UniRef90_D4IN49	192.752
UniRef90_D4IN49|g__Bacteroides.s__Bacteroides_vulgatus	192.752
UniRef90_A6KZK0	191.343
UniRef90_A6KZK0|g__Bacteroides.s__Bacteroides_vulgatus	191.343
UniRef90_D1K1G9	190.88
UniRef90_D1K1G9|g__Bacteroides.s__Bacteroides_vulgatus	190.88
UniRef90_A6L078	190.43
UniRef90_A6L078|g__Bacteroides.s__Bacteroides_vulgatus	190.43
UniRef90_R5K610	190.377
UniRef90_R5K610|g__Bacteroides.s__Bacteroides_vulgatus	190.377
UniRef90_R6CPE5	190.354
UniRef90_R6CPE5|g__Bacteroides.s__Bacteroides_vulgatus	190.354
UniRef90_A6L1Z2	190.174
UniRef90_A6L1Z2|g__Bacteroides.s__Bacteroides_vulgatus	190.174
UniRef90_A0A395UQZ5	189.916
UniRef90_A0A395UQZ5|g__Bacteroides.s__Bacteroides_vulgatus	189.916
UniRef90_S0F6E1	189.134
UniRef90_S0F6E1|g__Bacteroides.s__Bacteroides_vulgatus	189.134
UniRef90_A0A078SUV6	189.107
UniRef90_A0A078SUV6|g__Bacteroides.s__Bacteroides_vulgatus	189.107
UniRef90_A6L171	188.814
UniRef90_A6L171|g__Bacteroides.s__Bacteroides_vulgatus	188.814
UniRef90_I8VLN7	187.53
UniRef90_I8VLN7|g__Bacteroides.s__Bacteroides_vulgatus	187.53
UniRef90_I8Z1J8	187.165
UniRef90_I8Z1J8|g__Bacteroides.s__Bacteroides_vulgatus	187.165
UniRef90_D4V9H7	186.918
UniRef90_D4V9H7|g__Bacteroides.s__Bacteroides_vulgatus	186.918
UniRef90_A0A076J277	186.656
UniRef90_A0A076J277|g__Bacteroides.s__Bacteroides_vulgatus	186.656
UniRef90_A0A0P0LMJ9	186.422
UniRef90_A0A0P0LMJ9|g__Bacteroides.s__Bacteroides_vulgatus	186.422
UniRef90_A0A0P0LCP3	185.874
UniRef90_A0A0P0LCP3|g__Bacteroides.s__Bacteroides_vulgatus	185.874
UniRef90_A0A396F406	185.504
UniRef90_A0A396F406|g__Bacteroides.s__Bacteroides_vulgatus	185.504
UniRef90_A0A076ILU1	185.249
UniRef90_A0A076ILU1|g__Bacteroides.s__Bacteroides_vulgatus	185.249
UniRef90_A0A0P0LCQ4	184.467
UniRef90_A0A0P0LCQ4|g__Bacteroides.s__Bacteroides_vulgatus	184.467
UniRef90_A0A076IWQ2	184.096
UniRef90_A0A076IWQ2|g__Bacteroides.s__Bacteroides_vulgatus	184.096
UniRef90_A0A0N7J704	183.313
UniRef90_A0A0N7J704|g__Bacteroides.s__Bacteroides_vulgatus	183.313
UniRef90_D4VC73	182.949
UniRef90_D4VC73|g__Bacteroides.s__Bacteroides_vulgatus	182.949
UniRef90_A0A3E4JRG9	182.061
UniRef90_A0A3E4JRG9|g__Bacteroides.s__Bacteroides_vulgatus	182.061
UniRef90_A0A0P0M0U6	181.745
UniRef90_A0A0P0M0U6|g__Bacteroides.s__Bacteroides_vulgatus	181.745
UniRef90_A6KZZ5	181.736
UniRef90_A6KZZ5|g__Bacteroides.s__Bacteroides_vulgatus	181.736
UniRef90_F7LTK8	181.379
UniRef90_F7LTK8|g__Bacteroides.s__Bacteroides_vulgatus	181.379
UniRef90_A0A174G281	181.314
UniRef90_A0A174G281|g__Bacteroides.s__Bacteroides_vulgatus	181.314
UniRef90_A0A0M1VZG1	179.958
UniRef90_A0A0M1VZG1|g__Bacteroides.s__Bacteroides_vulgatus	179.958
UniRef90_A0A381D8P7	179.691
UniRef90_A0A381D8P7|g__Bacteroides.s__Bacteroides_vulgatus	179.691
UniRef90_A0A0K2HHQ5	179.455
UniRef90_A0A0K2HHQ5|g__Bacteroides.s__Bacteroides_vulgatus	179.455
UniRef90_I9R4C5	179.212
UniRef90_I9R4C5|g__Bacteroides.s__Bacteroides_vulgatus	179.212
UniRef90_A0A174JI66	178.638
UniRef90_A0A174JI66|g__Bacteroides.s__Bacteroides_vulgatus	178.638
UniRef90_A0A3E5DLS5	178.319
UniRef90_A0A3E5DLS5|g__Bacteroides.s__Bacteroides_vulgatus	178.319
UniRef90_A0A0P0M580	178.108
UniRef90_A0A0P0M580|g__Bacteroides.s__Bacteroides_vulgatus	178.108
UniRef90_B6VVT2	178.044
UniRef90_B6VVT2|g__Bacteroides.s__Bacteroides_vulgatus	178.044
UniRef90_A0A076IZX2	177.834
UniRef90_A0A076IZX2|g__Bacteroides.s__Bacteroides_vulgatus	177.834
UniRef90_A0A076IQC5	177.54
UniRef90_A0A076IQC5|g__Bacteroides.s__Bacteroides_vulgatus	177.54
UniRef90_A0A174W8K2	177.385
UniRef90_A0A174W8K2|g__Bacteroides.s__Bacteroides_vulgatus	177.385
UniRef90_A0A127SQY3	177.385
UniRef90_A0A127SQY3|g__Bacteroides.s__Bacteroides_vulgatus	177.385
UniRef90_Q8A6P8	176.702
UniRef90_Q8A6P8|g__Bacteroides.s__Bacteroides_vulgatus	176.702
UniRef90_A0A0P0EVZ2	176.519
UniRef90_A0A0P0EVZ2|g__Bacteroides.s__Bacteroides_vulgatus	176.519
UniRef90_A0A0P0L2N8	176.495
UniRef90_A0A0P0L2N8|g__Bacteroides.s__Bacteroides_vulgatus	176.495
UniRef90_A0A076IRW6	176.457
UniRef90_A0A076IRW6|g__Bacteroides.s__Bacteroides_vulgatus	176.457
UniRef90_A0A0P0M3Q6	176.14
UniRef90_A0A0P0M3Q6|g__Bacteroides.s__Bacteroides_vulgatus	176.14
UniRef90_A6L5E7	175.964
UniRef90_A6L5E7|g__Bacteroides.s__Bacteroides_vulgatus	175.964
UniRef90_I9EZE0	175.738
UniRef90_I9EZE0|g__Bacteroides.s__Bacteroides_vulgatus	175.738
UniRef90_D7IKE4	175.46
UniRef90_D7IKE4|g__Bacteroides.s__Bacteroides_vulgatus	175.46
UniRef90_A0A396ATB7	175.425
UniRef90_A0A396ATB7|g__Bacteroides.s__Bacteroides_vulgatus	175.425
UniRef90_A0A174LZ35	175.329
UniRef90_A0A174LZ35|g__Bacteroides.s__Bacteroides_vulgatus	175.329
UniRef90_C3RFL6	173.962
UniRef90_C3RFL6|g__Bacteroides.s__Bacteroides_vulgatus	173.962
UniRef90_A0A174SEK7	173.917
UniRef90_A0A174SEK7|g__Bacteroides.s__Bacteroides_vulgatus	173.917
UniRef90_A0A174QBD4	173.501
UniRef90_A0A174QBD4|g__Bacteroides.s__Bacteroides_vulgatus	173.501
UniRef90_A0A0P0M4T8	173.005
UniRef90_A0A0P0M4T8|g__Bacteroides.s__Bacteroides_vulgatus	173.005
UniRef90_A0A076J0X0	172.834
UniRef90_A0A076J0X0|g__Bacteroides.s__Bacteroides_vulgatus	172.834
UniRef90_A6KWS3	172.8
UniRef90_A6KWS3|g__Bacteroides.s__Bacteroides_vulgatus	172.8
UniRef90_A6L6H7	172.169
UniRef90_A6L6H7|g__Bacteroides.s__Bacteroides_vulgatus	172.169
UniRef90_A0A380ZP89	171.665
UniRef90_A0A380ZP89|g__Bacteroides.s__Bacteroides_vulgatus	171.665
UniRef90_A0A076IXV9	171.598
UniRef90_A0A076IXV9|g__Bacteroides.s__Bacteroides_vulgatus	171.598
UniRef90_A0A076JAM2	171.409
UniRef90_A0A076JAM2|g__Bacteroides.s__Bacteroides_vulgatus	171.409
UniRef90_C3R7A7	170.946
UniRef90_C3R7A7|g__Bacteroides.s__Bacteroides_vulgatus	170.946
UniRef90_A0A0P0LDE8	170.607
UniRef90_A0A0P0LDE8|g__Bacteroides.s__Bacteroides_vulgatus	170.607
UniRef90_A0A396B2Z4	170.537
UniRef90_A0A396B2Z4|g__Bacteroides.s__Bacteroides_vulgatus	170.537
UniRef90_I8WFL2	170.534
UniRef90_I8WFL2|g__Bacteroides.s__Bacteroides_vulgatus	170.534
UniRef90_A0A076IQU9	170.255
UniRef90_A0A076IQU9|g__Bacteroides.s__Bacteroides_vulgatus	170.255
UniRef90_C6YZH3	170.24
UniRef90_C6YZH3|g__Bacteroides.s__Bacteroides_vulgatus	170.24
UniRef90_D1JXS4	169.79
UniRef90_D1JXS4|g__Bacteroides.s__Bacteroides_vulgatus	169.79
UniRef90_A0A174S849	169.755
UniRef90_A0A174S849|g__Bacteroides.s__Bacteroides_vulgatus	169.755
UniRef90_A0A076J6G0	169.712
UniRef90_A0A076J6G0|g__Bacteroides.s__Bacteroides_vulgatus	169.712
UniRef90_F0R8V1	169.457
UniRef90_F0R8V1|g__Bacteroides.s__Bacteroides_vulgatus	169.457
UniRef90_A0A3E4G680	168.878
UniRef90_A0A3E4G680|g__Bacteroides.s__Bacteroides_vulgatus	168.878
UniRef90_A0A173XN64	167.865
UniRef90_A0A173XN64|g__Bacteroides.s__Bacteroides_vulgatus	167.865
UniRef90_A0A174MX71	167.74
UniRef90_A0A174MX71|g__Bacteroides.s__Bacteroides_vulgatus	167.74
UniRef90_A0A1Q6JPX4	167.481
UniRef90_A0A1Q6JPX4|g__Bacteroides.s__Bacteroides_vulgatus	167.481
UniRef90_A6KZJ9	166.322
UniRef90_A6KZJ9|g__Bacteroides.s__Bacteroides_vulgatus	166.322
UniRef90_A6L7Q8	166.284
UniRef90_A6L7Q8|g__Bacteroides.s__Bacteroides_vulgatus	166.284
UniRef90_U6REW2	166.201
UniRef90_U6REW2|g__Bacteroides.s__Bacteroides_vulgatus	166.201
UniRef90_I0PXX6	166.045
UniRef90_I0PXX6|g__Bacteroides.s__Bacteroides_vulgatus	166.045
UniRef90_A0A0P0L9Z5	165.648
UniRef90_A0A0P0L9Z5|g__Bacteroides.s__Bacteroides_vulgatus	165.648
UniRef90_A0A174N2M4	165.502
UniRef90_A0A174N2M4|g__Bacteroides.s__Bacteroides_vulgatus	165.502
UniRef90_A0A397WGQ8	165.129
UniRef90_A0A397WGQ8|g__Bacteroides.s__Bacteroides_vulgatus	165.129
UniRef90_A0A076J819	165.111
UniRef90_A0A076J819|g__Bacteroides.s__Bacteroides_vulgatus	165.111
UniRef90_L1PB72	165.05
UniRef90_L1PB72|g__Bacteroides.s__Bacteroides_vulgatus	165.05
UniRef90_R7P1E3	164.957
UniRef90_R7P1E3|g__Bacteroides.s__Bacteroides_vulgatus	164.957
UniRef90_A0A0M1W865	164.505
UniRef90_A0A0M1W865|g__Bacteroides.s__Bacteroides_vulgatus	164.505
UniRef90_A0A076ILN2	164.345
UniRef90_A0A076ILN2|g__Bacteroides.s__Bacteroides_vulgatus	164.345
UniRef90_A0A0F5JSQ2	164.317
UniRef90_A0A0F5JSQ2|g__Bacteroides.s__Bacteroides_vulgatus	164.317
UniRef90_D1JZ97	164.283
UniRef90_D1JZ97|g__Bacteroides.s__Bacteroides_vulgatus	164.283
UniRef90_A6L071	164.239
UniRef90_A6L071|g__Bacteroides.s__Bacteroides_vulgatus	164.239
UniRef90_A0A174X753	163.937
UniRef90_A0A174X753|g__Bacteroides.s__Bacteroides_vulgatus	163.937
UniRef90_A0A396EZT3	163.825
UniRef90_A0A396EZT3|g__Bacteroides.s__Bacteroides_vulgatus	163.825
UniRef90_A0A076J2E9	163.715
UniRef90_A0A076J2E9|g__Bacteroides.s__Bacteroides_vulgatus	163.715
UniRef90_A6L585	163.224
UniRef90_A6L585|g__Bacteroides.s__Bacteroides_vulgatus	163.224
UniRef90_A0A076IS94	163.067
UniRef90_A0A076IS94|g__Bacteroides.s__Bacteroides_vulgatus	163.067
UniRef90_A0A0P0LJ92	162.772
UniRef90_A0A0P0LJ92|g__Bacteroides.s__Bacteroides_vulgatus	162.772
UniRef90_A0A0P0LGH4	162.649
UniRef90_A0A0P0LGH4|g__Bacteroides.s__Bacteroides_vulgatus	162.649
UniRef90_B5D0K1	162.568
UniRef90_B5D0K1|g__Bacteroides.s__Bacteroides_vulgatus	162.568
UniRef90_R6JG40	162.507
UniRef90_R6JG40|g__Bacteroides.s__Bacteroides_vulgatus	162.507
UniRef90_A0A396ASE2	162.46
UniRef90_A0A396ASE2|g__Bacteroides.s__Bacteroides_vulgatus	162.46
UniRef90_B6W139	162.137
UniRef90_B6W139|g__Bacteroides.s__Bacteroides_vulgatus	162.137
UniRef90_A6LFQ4	162.001
UniRef90_A6LFQ4|g__Bacteroides.s__Bacteroides_vulgatus	162.001
UniRef90_A0A0P0M3T4	161.989
UniRef90_A0A0P0M3T4|g__Bacteroides.s__Bacteroides_vulgatus	161.989
UniRef90_A0A1Y3ZLI2	161.839
UniRef90_A0A1Y3ZLI2|g__Bacteroides.s__Bacteroides_vulgatus	161.839
UniRef90_D0TH60	161.483
UniRef90_D0TH60|g__Bacteroides.s__Bacteroides_vulgatus	161.483
UniRef90_A0A076IV89	161.124
UniRef90_A0A076IV89|g__Bacteroides.s__Bacteroides_vulgatus	161.124
UniRef90_A0A127SVB4	160.198
UniRef90_A0A127SVB4|g__Bacteroides.s__Bacteroides_vulgatus	160.198
UniRef90_A0A0P0M486	159.897
UniRef90_A0A0P0M486|g__Bacteroides.s__Bacteroides_vulgatus	159.897
UniRef90_A0A3E4I9R6	159.661
UniRef90_A0A3E4I9R6|g__Bacteroides.s__Bacteroides_vulgatus	159.661
UniRef90_A6L6D2	159.268
UniRef90_A6L6D2|g__Bacteroides.s__Bacteroides_vulgatus	159.268
UniRef90_D1K2J1	158.336
UniRef90_D1K2J1|g__Bacteroides.s__Bacteroides_vulgatus	158.336
UniRef90_A0A076J8I6	158.212
UniRef90_A0A076J8I6|g__Bacteroides.s__Bacteroides_vulgatus	158.212
UniRef90_U6RK63	158.039
UniRef90_U6RK63|g__Bacteroides.s__Bacteroides_vulgatus	158.039
UniRef90_B6VTP3	157.854
UniRef90_B6VTP3|g__Bacteroides.s__Bacteroides_vulgatus	157.854
UniRef90_A0A0P0M503	157.846
UniRef90_A0A0P0M503|g__Bacteroides.s__Bacteroides_vulgatus	157.846
UniRef90_A0A0P0M6A8	157.722
UniRef90_A0A0P0M6A8|g__Bacteroides.s__Bacteroides_vulgatus	157.722
UniRef90_A0A174NAX3	157.585
UniRef90_A0A174NAX3|g__Bacteroides.s__Bacteroides_vulgatus	157.585
UniRef90_A0A396ERU4	157.577
UniRef90_A0A396ERU4|g__Bacteroides.s__Bacteroides_vulgatus	157.577
UniRef90_A0A1H7FY75	157.122
UniRef90_A0A1H7FY75|g__Bacteroides.s__Bacteroides_vulgatus	157.122
UniRef90_D4VDD1	156.65
UniRef90_D4VDD1|g__Bacteroides.s__Bacteroides_vulgatus	156.65
UniRef90_R9H058	156.349
UniRef90_R9H058|g__Bacteroides.s__Bacteroides_vulgatus	156.349
UniRef90_A0A395VV85	156.254
UniRef90_A0A395VV85|g__Bacteroides.s__Bacteroides_vulgatus	156.254
UniRef90_A0A396EPH8	156.138
UniRef90_A0A396EPH8|g__Bacteroides.s__Bacteroides_vulgatus	156.138
UniRef90_A0A0P0M3J6	155.35
UniRef90_A0A0P0M3J6|g__Bacteroides.s__Bacteroides_vulgatus	155.35
UniRef90_A0A076J1V1	155.031
UniRef90_A0A076J1V1|g__Bacteroides.s__Bacteroides_vulgatus	155.031
UniRef90_A0A395VMH7	154.712
UniRef90_A0A395VMH7|g__Bacteroides.s__Bacteroides_vulgatus	154.712
UniRef90_A0A174T3G0	154.574
