# Gene Family	RAG_100_Abundance-RPKs	RAG_101_Abundance-RPKs	RAG_102_Abundance-RPKs	RAG_103_Abundance-RPKs
UNMAPPED	655851	580497	388692	332686
UNGROUPED	8000000	401763.213	582256.519	638764.268
K00001	0.251	0.877	0	1.148
K00002	0	1.503	5.618	0
K00003	0.716	9.541	9.006	0.602
K00004	0	0	0	0
K00005	3.169	1.771	8.342	0.785
K00007	0	0	0	0
K00008	0	0.732	3.198	0.323
K00009	3.787	4.056	1.314	0
K00010	0	0.967	8.428	0
K00012	2.463	9.558	7.061	8.149
K00013	3.207	4.236	8.88	8.159
K00014	8.265	11.071	31.227	54.584
K00015	0	0.223	0	0
K00016	5.53	15.049	14.272	1.295
K00018	1.856	0.805	4.462	0.747
K00020	0	0	0.882	0
K00021	0	0	0	0
K00024	5.378	0.779	16.401	6.611
K00027	7.673	3.247	6.029	2.385
K00029	2.021	6.675	0.508	1.569
K00030	0.746	1.35	5.785	0
K00031	2.566	3.356	4.862	4.472
K00033	0.231	0.89	0.637	0.656
K00036	0.936	0.421	2.214	4.848
K00040	6.823	4.971	8.459	1.442
K00041	5.202	7.589	24.504	11.011
K00042	4.563	0	0	0.392
K00045	0	2.067	10.812	2.329
K00046	0	0.342	0.617	0
K00048	4.812	6.634	3.379	0.248
K00052	8.12	14.747	43.926	61.328
K00053	15.965	19.861	21.292	34.42
K00054	0	0	0	0
K00055	0	0	0	0
K00057	22.17	21.171	20.708	6.885
K00058	4.887	15.075	20.295	47.857
K00059	12.436	18.736	22.859	13.24
K00060	0	0	0	0
K00065	0.36	0.348	0.179	1.099
K00067	1.555	1.227	13.474	5.225
K00068	0	3.376	3.327	0
K00073	2.99	0	0	0
K00074	8.641	6.206	18.246	1.846
K00075	1.474	20.199	33.332	6.012
K00076	1.948	0	0	0
K00077	7.279	10.065	10.274	2.196
K00086	0	0	0	0
K00087	6.727	2.216	8.868	1.239
K00088	10.611	21.972	22.87	2.016
K00090	1.956	0.265	0	0
K00094	0	0	0.194	0
K00096	0.696	4.255	13.62	0
K00097	0.395	0	14.391	48.629
K00098	0	0	0	0
K00099	6.47	14.829	34.898	12.777
K00100	0	0	0	0
K00101	8.254	0	0	0
K00104	4.802	2.855	26.811	1.027
K00105	0	0.261	0	0
K00108	5.583	0	0	0.436
K00111	4.751	0	2.02	0.683
K00112	0.59	0	0	0
K00113	1.157	0	0.238	0.31
K00116	2.91	0	0	0
K00117	3.698	0	0	0.241
K00121	5.277	0.263	0	0.111
K00123	1.411	0	0	0
K00124	7.717	0	0.252	0.602
K00125	0	0	0	0
K00127	2.58	0	0.194	0.337
K00128	0.413	1.508	0.517	0
K00130	0	0	1.038	0
K00131	0	4.149	1.363	0
K00132	0	0	0	0
K00133	8.943	18.316	23.284	5.874
K00134	26.557	48.272	28.478	6.306
K00135	0.82	0	0	0
K00137	0.698	0	0	0
K00138	4.828	0	0	0.644
K00140	0	0	0	0
K00145	9.074	13.791	49.268	53.896
K00146	2.589	0	0	0
K00147	11.514	20.769	15.323	8.022
K00150	0.294	0.168	0	0
K00156	0	0	0	0.405
K00158	0	8.133	0	0.306
K00161	0	3.029	3.89	0
K00162	0	0	1.452	0
K00163	2.707	0	0.061	0.125
K00164	2.429	0	0	0
K00169	0.593	7.589	1.701	0
K00170	0.596	7.241	1.662	0.254
K00171	0	3.892	1.106	0
K00172	1.204	0.762	2.732	0
K00174	3.768	1.161	11.804	6.951
K00175	15.197	8.028	18.978	6.282
K00176	0.24	1.837	2.329	7.786
K00177	0.704	0.958	0.512	0
K00179	0.631	6.857	8.947	5.399
K00180	0.788	11.87	6.856	0.742
K00183	0	0	0	0
K00184	0	0	0	0.329
K00185	0	0	0	0
K00194	0	0.641	7.274	0
K00196	0.542	0.241	0	0
K00198	0	0	0	0
K00200	0	0	0	0
K00201	0	0	0	0
K00202	0	0	0	0
K00203	0	0	0	0
K00204	0.302	0	0	0
K00208	4.635	0.198	0.065	0
K00209	0	5.815	1.507	0.449
K00210	0	0	0.455	5.794
K00215	4.616	14.222	10.844	1.179
K00216	4.481	0	0	0.12
K00219	0	0	0	0
K00226	0	4.208	2.953	0
K00228	2.821	0	0	0
K00230	5.517	0	0.237	0.308
K00239	36.343	7.078	14.641	3.721
K00240	21.863	6.379	4.103	7.686
K00241	2.358	0	1.775	6.848
K00242	1.382	0	0	0
K00243	1.247	4.894	8.397	0.905
K00244	2.727	1.99	1.127	0.715
K00245	7.031	0	0	0.772
K00246	4.97	0	0	0
K00247	5.379	0	0	0
K00248	0	0	4.837	0
K00254	2.352	0.211	0	0
K00259	0	0.665	0.959	0
K00260	0	0	0	0
K00261	0	0	0	0
K00262	7.687	22.884	70.833	111.706
K00263	0	0	0	0
K00265	5.055	5.17	10.594	1.944
K00266	23.19	52.997	54.542	11.147
K00275	3.652	0.302	0	1.164
K00276	1.005	0	0	0
K00278	1.988	2.179	6.188	1.795
K00281	1.655	0	0.429	0.721
K00282	0.755	0	0	0
K00283	0	0	0.212	0
K00285	2.679	0	0	0
K00286	4.283	5.443	15.912	8.504
K00287	0.565	5.517	2.67	8.456
K00290	1.751	3.639	6.479	1.101
K00294	0	0	0	0
K00297	7.264	9.022	14.221	11.931
K00299	3.523	0	0	0
K00302	0	0	0	0
K00303	0.44	5.217	0	0
K00313	4.924	0	0	0.187
K00319	0	0.427	0	0
K00320	0	0	0	0
K00322	4.369	0	0	0
K00324	1.563	1.445	1.946	0
K00325	1.819	0	0.257	0
K00330	7.364	0.803	22.384	66.767
K00331	1.527	1.243	25.485	58.622
K00332	0	0	0	0
K00333	0	0	0	0
K00334	1.951	0	0.177	0
K00335	5.945	1.357	6.645	0.627
K00336	0.453	1.572	10.304	0.77
K00337	2.674	0.376	17.662	66.275
K00338	7.739	1.313	15.726	60.583
K00339	0.771	0.202	20.111	59.886
K00340	6.601	0	0.656	0
K00341	0.739	2.487	4.036	6.003
K00342	3.054	2.493	2.017	5.652
K00343	6.567	0	3.022	4.674
K00344	0.721	0	0	0
K00346	0.16	0	4.843	8.098
K00347	0.416	0.277	14.606	46.285
K00348	0.254	0.354	3.212	0.675
K00349	1.842	5.213	1.517	5.314
K00350	2.763	0.745	27.11	48.973
K00351	5.289	1.309	1.751	6.24
K00354	0	0	0	0
K00355	0	0.78	0	0
K00362	0.692	0	0	0
K00363	0	0	0	0
K00364	0.319	9.485	0	0
K00366	0.27	0.814	0	0.939
K00370	3.085	0	0	0
K00371	3.763	0	0	0
K00372	0	0	0	0
K00373	7.833	0	0	0
K00374	10.315	0	0.179	0.993
K00375	1.4	9.41	7.153	1.687
K00376	0	0	0	0
K00380	1.856	0.21	0	0.067
K00381	4.551	0	0	0
K00382	0.495	1.91	8.131	0.522
K00383	2.269	5.147	1.412	0
K00384	8.307	20.026	37.293	6.831
K00385	0	0	0	0
K00389	3.38	0	0.461	0.803
K00390	3.837	0.665	2.519	0.391
K00394	0	5.409	10.066	1.048
K00395	0	0	8.23	1.34
K00399	0	0	0	0
K00400	0	0	0	0
K00401	0	0	0	0
K00402	0	0	0	0
K00404	0	0	0	0
K00405	0	0	0	0
K00406	0	0	0	0
K00407	0	0	0	0
K00411	0.211	0	0	0
K00412	0	0	0	0
K00413	0	0	0	0
K00425	6.243	0.456	0	0
K00426	3.084	2.752	0.75	5.414
K00427	3.463	0	0	0.357
K00428	4.478	0	0	0.308
K00432	0	1.605	0	0.364
K00440	0	0	0	0
K00441	0	0	0	0
K00442	0	0	0	0
K00443	0	0	0	0
K00448	0	0	0	0
K00451	0	0	0	0
K00453	0	0	0	0
K00455	0	0	0	0
K00457	0	0	0	0
K00459	0	0	0	0
K00481	0	0	0	0
K00483	0	0	0	0
K00520	0	0	0	0
K00525	1.972	1.195	16.591	50.23
K00526	3.388	0.744	4.569	0.092
K00527	0	0.526	0	0
