# Gene Family	RAG_100	RAG_101	RAG_102	RAG_103	RAG_104	RAG_105	RAG_106	RAG_107	RAG_108
K05245	2.701	0	0	0	0.285	0.395	0	0.221	0
K05275	0	0	0	0	0	0.179	0	0.389	0
K05303	0	2.284	6.108	0	0	1.641	1.251	0.936	0
K05305	0	0.468	1.665	0	0	0.329	0.401	0.217	0
K05306	0.382	0	0.734	0	17.836	6.814	1.285	7.255	0
K05311	0.434	0.7	0	0	0	0.537	3.542	0	0
K05337	0	0	0	0	1.332	0.461	2.256	0	0
K05338	0	0	0	0	0	0	0	0	0
K05339	0	0	0	0	0	0	0	0	0
K05340	0	0.514	3.636	5.998	64.254	5.99	2.001	28.42	0
K05341	0	4.039	1.125	0	0	0.238	0	0	0
K05343	0.297	2.878	2.013	0	0	8.419	0.678	0	0.729
K05346	0	0	6.488	0	0	3.113	0.884	0.523	0
K05349	6.583	6.033	36.638	25.42	58.302	53.209	14.104	90.262	2.454
K05350	0	0	2.286	0	0.371	0	1.052	0.12	0.39
K05351	0	0.566	0	0	0.326	2.752	6.033	0.959	0
K05352	0	0	0	0.33	0	0	0	0	0
K05362	0	5.403	1.35	0	0	0	0.595	0	0
K05363	0	0	0	0	0	0	0	0	0
K05364	0	0.306	2.47	0.535	0.394	2.612	0.683	1.515	0.325
K05365	0.749	0	0	0	0	0	0	0.41	0
K05366	3.514	0.749	2.073	0	0.734	17.202	1.441	3.863	0.697
K05367	2.04	0	0	0	0	0	0	0.757	0
K05368	1.28	0	0	0.131	0	0	0	0	0
K05374	2.228	0	0.186	0	0	0.2	0	0	0
K05396	0.177	0.215	0	0.136	0	0.035	0	0.077	0
K05499	2.94	0	0	0	0	9.016	0	0.719	0
K05501	7.073	0	0	0	0.928	0.847	0	1.329	0
K05515	0.611	1.467	17.203	5.131	100.904	26.096	7.169	52.401	1.344
K05516	1.27	0	0	0	0	0.529	0	6.224	0
K05517	3.093	0	0	0	0.701	0.763	0	0.282	0
K05520	0	0	0.576	0	0	0.232	0	0.616	0.573
K05522	2.995	0	0	0	0	0	0	0.251	0
K05523	3.781	0	0	0	0.196	0.207	0.439	0.287	0
K05524	0	0	0	1.758	0	0	0	0	0
K05526	5.097	0	0	0.252	0	0.405	0	0.08	0
K05527	6.097	0	0	0	0	0.726	0	0.394	0
K05539	4.11	0	0	0.301	0	0.845	0.734	0.589	0
K05540	3.537	0	0	0	0	0	0.494	0.523	0
K05541	0	0	0	0	0	0	0	0	0
K05549	0	0	0	0	0	0	0	0	0
K05566	0	0	0	0	0	0	0	0	0
K05567	0	0	0	0	0	0	1.389	0	0
K05568	0	0	1.626	0	0	0	0	0	0
K05569	0	0	0.302	0	0	0	0	0	0
K05570	0	0	0	0	0	0	0	0	0
K05571	0	0	0.343	0	0	0.276	0	0	0
K05577	0	0	0	0	0	0	0	0	0
K05589	5.846	0	0	0.727	0.757	0.75	0	0.407	0
K05590	0.16	0	0	0	0.328	0.499	0	0.45	0
K05591	0.83	0	0	0.12	0	0	0	0.104	0
K05592	2.148	1.097	3.177	8.2	34.941	9.461	11.807	19.245	0
K05593	0	0	0	0	0	0	0	0	0
K05594	4.821	0	0	0	0	0.776	0	0.841	0
K05595	4.502	1.613	3.734	0.317	67.873	8.487	0	6.983	0
K05596	5.221	0	0	0.498	0	0	0	0.682	0
K05601	5.486	12.691	28.681	40.5	18.081	23.324	7.556	19.035	1.745
K05606	0	0.54	1.305	0	0	0	0	0	0.317
K05685	3.03	0	0	0	0	0.252	0	0.341	0
K05708	0	0	0	0.189	0	0	0	0	0
K05709	4.812	0	0	0.44	0	0	0	0.246	0
K05710	6.363	0	0.531	1.154	0	0	0.715	0.387	0
K05712	0.338	0	0.168	0	0.321	0	0	0.245	0
K05713	0.403	0	0	0.126	0.055	0	0.205	0.081	0
K05714	0.484	0	0	0	0	0	0.198	0	0
K05715	0	0	0	0	0	0	0	0	0
K05716	0	0	0	0	0	0.856	0.419	0	0.697
K05755	0	0	0	0	0	0	0	0	0
K05770	0	0	0.887	5.777	35.522	4.049	0.796	13.941	0.604
K05772	0	0	0	0	0	0	0	0	0
K05773	0	0	0	0	0	0	0	0	0
K05774	2.424	0	0	0	0	0.309	0.508	0	0
K05775	6.475	0	0.287	0	0.669	0.529	0	0.838	0
K05776	4.796	0	0	0	0	0	0	0	0
K05777	0	0	0	0	0	0	0	0.182	0
K05778	0	0	0	0	0	0	0	0	0
K05779	0	0	0	0	0	0	0	0	0
K05780	0	0	0.355	0	0.784	1.098	0	0.734	0
K05781	0.585	0	0	0	0	0.804	0	0.692	0
K05782	2.074	0	0	0	0	0.159	0	0.513	0
K05785	10.907	0	0	0	0.655	1.775	0	2.008	0
K05786	2.396	3.453	1.185	0	0	0.169	0	0	0.448
K05787	6.002	0	0	0.307	0	0.387	0	0.527	0
K05788	4.298	0.497	0.241	0.628	0	0.775	0.487	1.053	0
K05789	0	0	0	0	0	0	0	0	0
K05790	0	0	0	0	0.432	0.513	0	0.618	0
K05795	0	0	0	0	0	0	0	0	0
K05796	2.881	0	0	0.792	0	0.533	0	0.843	0
K05798	3.854	0	0	0	0	0	0	0.348	0
K05799	2.489	0.287	1.961	0.594	1.178	1.801	0.641	0.671	0
K05800	0	0.231	0	0	0	0	0	0	0
K05801	2.933	0.4	0.847	5.193	31.918	3.068	1.308	19.107	0
K05802	5.126	0	0.371	0.829	0	0.587	0	0	0
K05803	2.406	0	0	0	0	0	0	0.22	0
K05804	1.578	0	0	0	0	0	0	0.128	0
K05805	1.724	0	0	0	0.684	0.85	0	1.609	0
K05807	5.191	0	0	0.209	8.197	8.066	1.613	0.195	0
K05808	9.449	7.528	4.134	3.413	1.256	0.349	7.036	4.638	0.889
K05809	0.792	0	0	0	0	0	0	0	0
K05810	0.941	2.996	12.844	1.449	5.849	6.282	4.712	6.909	0.577
K05811	5.998	0	0	0	0.245	0	0	0.879	0
K05812	7.442	0	0	0	0	0.462	0	0.376	0
K05813	2.312	0	0.224	0	0	0	0.8	0.675	0
K05814	2.182	0	0	0.447	0	0.276	2.376	1.156	0
K05815	4.669	0	0	0.355	0.285	0	2.045	0.751	0
K05816	6.971	0	0	0.286	0	1.221	0.274	1.381	0
K05817	3.963	0	0	0	0	0	0	0.218	0
K05818	3.129	0	0	0	0	0	0	0	0
K05819	2.06	0	0	0	0	0	0	0	0
K05820	4.641	3.547	0	0	0.261	0.491	0	0.35	0
