# Gene Familys	demo_Abundance-RPKs
UniRef90_A0A069S3S3	84.1325021763
UniRef90_A0A069S3S3|g__Bacteroides.s__Bacteroides_vulgatus	84.1325021763
UniRef90_D4V4V0	83.4782608696
UniRef90_D4V4V0|g__Bacteroides.s__Bacteroides_vulgatus	83.4782608696
UniRef90_A0A076IQ49	82.7554021913
UniRef90_A0A076IQ49|g__Bacteroides.s__Bacteroides_vulgatus	82.7554021913
UniRef90_A0A174R7U9	82.6825176944
UniRef90_A0A174R7U9|g__Bacteroides.s__Bacteroides_vulgatus	82.6825176944
UniRef90_A0A174KU74	80.4542251157
UniRef90_A0A174KU74|g__Bacteroides.s__Bacteroides_vulgatus	80.4542251157
UniRef90_C6ZAS8	80.4512416982
UniRef90_C6ZAS8|g__Bacteroides.s__Bacteroides_vulgatus	80.4512416982
UniRef90_A0A078TAG6	79.4956963708
UniRef90_A0A078TAG6|g__Bacteroides.s__Bacteroides_vulgatus	79.4956963708
UniRef90_A0A076J5I1	79.3655989850
UniRef90_A0A076J5I1|g__Bacteroides.s__Bacteroides_vulgatus	79.3655989850
UniRef90_D4VEG4	78.7188700875
UniRef90_D4VEG4|g__Bacteroides.s__Bacteroides_vulgatus	78.7188700875
UniRef90_A0A1Q6IXL9	78.7049460811
UniRef90_A0A1Q6IXL9|g__Bacteroides.s__Bacteroides_vulgatus	78.7049460811
UniRef90_A0A0P0LHQ9	78.3165295592
UniRef90_A0A0P0LHQ9|g__Bacteroides.s__Bacteroides_vulgatus	78.3165295592
UniRef90_C6ZAL8	77.7995435241
UniRef90_C6ZAL8|g__Bacteroides.s__Bacteroides_vulgatus	77.7995435241
UniRef90_A0A0P0L353	77.6270482915
UniRef90_A0A0P0L353|g__Bacteroides.s__Bacteroides_vulgatus	77.6270482915
UniRef90_D1K9I6	75.0188138091
UniRef90_D1K9I6|g__Bacteroides.s__Bacteroides_vulgatus	75.0188138091
UniRef90_A0A395UK03	74.4204762355
UniRef90_A0A395UK03|g__Bacteroides.s__Bacteroides_vulgatus	74.4204762355
UniRef90_A0A174QUM5	74.2946145824
UniRef90_A0A174QUM5|g__Bacteroides.s__Bacteroides_vulgatus	74.2946145824
UniRef90_A0A076J5U1	74.0622594952
UniRef90_A0A076J5U1|g__Bacteroides.s__Bacteroides_vulgatus	74.0622594952
UniRef90_D4V7E2	72.4346617630
UniRef90_D4V7E2|g__Bacteroides.s__Bacteroides_vulgatus	72.4346617630
UniRef90_A0A0K2HIA2	72.4008976926
UniRef90_A0A0K2HIA2|g__Bacteroides.s__Bacteroides_vulgatus	72.4008976926
UniRef90_E5UZP2	71.7460128319
UniRef90_E5UZP2|g__Bacteroides.s__Bacteroides_vulgatus	71.7460128319
UniRef90_A0A0P0M5L3	71.3305718818
UniRef90_A0A0P0M5L3|g__Bacteroides.s__Bacteroides_vulgatus	71.3305718818
UniRef90_A0A069S4W8	68.7103594080
UniRef90_A0A069S4W8|g__Bacteroides.s__Bacteroides_vulgatus	68.7103594080
UniRef90_A0A0P0LCY3	67.3873258298
UniRef90_A0A0P0LCY3|g__Bacteroides.s__Bacteroides_vulgatus	67.3873258298
UniRef90_A0A174N3R8	66.9468043959
UniRef90_A0A174N3R8|g__Bacteroides.s__Bacteroides_vulgatus	66.9468043959
UniRef90_A6L5G7	66.4802654448
UniRef90_A6L5G7|g__Bacteroides.s__Bacteroides_vulgatus	66.4802654448
UniRef90_A0A076J5W7	66.2463314313
UniRef90_A0A076J5W7|g__Bacteroides.s__Bacteroides_vulgatus	66.2463314313
UniRef90_A0A0P0LHJ3	64.5439667982
UniRef90_A0A0P0LHJ3|g__Bacteroides.s__Bacteroides_vulgatus	64.5439667982
UniRef90_A6L083	64.2101294083
UniRef90_A6L083|g__Bacteroides.s__Bacteroides_vulgatus	64.2101294083
UniRef90_A0A380ZJN2	64.1247649832
UniRef90_A0A380ZJN2|g__Bacteroides.s__Bacteroides_vulgatus	64.1247649832
UniRef90_A0A0P0LK20	63.5927980676
UniRef90_A0A0P0LK20|g__Bacteroides.s__Bacteroides_vulgatus	63.5927980676
UniRef90_A0A396ARN2	62.3456790123
UniRef90_A0A396ARN2|g__Bacteroides.s__Bacteroides_vulgatus	62.3456790123
UniRef90_D4V7C3	61.0719494409
UniRef90_D4V7C3|g__Bacteroides.s__Bacteroides_vulgatus	61.0719494409
UniRef90_A0A1H7HSD9	60.8346900014
UniRef90_A0A1H7HSD9|g__Bacteroides.s__Bacteroides_vulgatus	60.8346900014
UniRef90_R7P2X9	60.5100291941
UniRef90_R7P2X9|g__Bacteroides.s__Bacteroides_vulgatus	60.5100291941
UniRef90_A0A1Y3ZIE4	60.3998211371
UniRef90_A0A1Y3ZIE4|g__Bacteroides.s__Bacteroides_vulgatus	60.3998211371
UniRef90_A0A396F407	59.2865425428
